EDCS-ID,publication,province,place,inscription,inscription_conservative_cleaning,inscription_interpretive_cleaning,inscr_type,status_notation,inscr_process,clean_text_conservative,clean_text_interpretive_word,status,material,partner_link,dating_from,dating_to,date_not_before,date_not_after,latitude,longitude,photo,raw_dating,language,comment,extra_text,extra_html
EDCS-41800130,IBC 00130,Britannia,Llanfihangel yng Ngwynfa / Llanfihangel,H(oc) est sepulcrum Wleder matris / Odelev qui primum (a)edificav[it] / hanc ec(c)lesia(m) / in t(e)mpore Ewini regis,H est sepulcrum Wleder matris Odelev qui primum edificav hanc eclesia in tmpore Ewini regis,Hoc est sepulcrum Wleder matris Odelev qui primum aedificavit hanc ecclesiam in tempore Ewini regis,"['inscriptiones christianae', 'reges', 'tituli operum']","['mulieres', 'viri']",{},H est sepulcrum Wleder matris Odelev qui primum edificav hanc eclesia in tmpore Ewini regis,Hoc est sepulcrum Wleder matris Odelev qui primum aedificavit hanc ecclesiam in tempore Ewini regis,inscriptiones christianae;  mulieres;  reges;  tituli operum;  viri,lapis,,1169.0,1169.0,1169.0,1169.0,52.741516,-3.3633223,,1169 to 1169,,DOI:10.36204/edcsj-006-202102 p. 17,,
EDCS-81200229,"AE 2018, 01068",Britannia,Gloucester / Glevum,[3]VMCONLA[3],VMCONLA,VMCONLA,tituli possessionis,{},{},VMCONLA,VMCONLA,tituli possessionis,cyprum,,101.0,400.0,101.0,400.0,51.8653705,-2.2458192,,101 to 400,,Platte,,
EDCS-05101892,"CIL 05, 06723 = ILVercel 00066 = ILCV 01049 = CLE 00704 = AE 2006, 00496 = AE 2007, +00127 = QAP-2006-167 = ICI-17, 00068",Transpadana / Regio XI,Vercelli / Vercellae,Eusebius episcopus et mart<y=U>r // Emeritae quantum damnatum corpore vitae / vel cunctis exuta malis mens possit inisi / sat dedit agnosci virtus quem mille labores / exiliique dolor victi stupuere fidelem / blandus et adfatu facilis sanctusq(ue) sereno / in vultu expon<e=I>ns animum patientior aequo / virtutum specimen dives sub paupere mundo / scri<p=B>torum custos rigidus dubiiq(ue) serenus / excusor veri contendens mente beata / purgatam in terris animan revocare per aethra / indignum clamans demergi crimine vitas / sulpureasq(ue) undas corrupto corpore adire / candor erat mentis verus semperq(ue) docebat / omnia factorum nostrae rationis habenda / participesq(ue) mali facinus qui in fata reclinant / ultor inexpletus fidei bellator in hostes / sincerus cultorq(ue) dei domi<t=N>orq(ue) malorum / errantum lumen qui crimina tolleret ore / talis erat specie quem nec ieiuna longa / magnanimum vicere sitim fluvialibus undis / algorem vili solitum depellere veste / robore caelesti mundum calcavit et omnes / terrenas vicit labes purgatior aethra / vitarum maculas puro qui decoquit igni / rebus qui docuit populos factisq(ue) vocavit,Eusebius episcopus et martUr Emeritae quantum damnatum corpore vitae vel cunctis exuta malis mens possit inisi sat dedit agnosci virtus quem mille labores exilii que dolor victi stupuere fidelem blandus et adfatu facilis sanctusq sereno in vultu exponIns animum patientior aequo virtutum specimen dives sub paupere mundo scriBtorum custos rigidus dubiiq serenus excusor veri contendens mente beata purgatam in terris animan revocare per aethra indignum clamans demergi crimine vitas sulpureasq undas corrupto corpore adire candor erat mentis verus semperq docebat omnia factorum nostrae rationis habenda participesq mali facinus qui in fata reclinant ultor inexpletus fidei bellator in hostes sincerus cultorq dei domiNorq malorum errantum lumen qui crimina tolleret ore talis erat specie quem nec ieiuna longa magnanimum vicere sitim fluvialibus undis algorem vili solitum depellere veste robore caelesti mundum calcavit et omnes terrenas vicit labes purgatior aethra vitarum maculas puro qui decoquit igni rebus qui docuit populos factisq vocavit,Eusebius episcopus et martyr Emeritae quantum damnatum corpore vitae vel cunctis exuta malis mens possit inisi sat dedit agnosci virtus quem mille labores exilii que dolor victi stupuere fidelem blandus et adfatu facilis sanctus que sereno in vultu exponens animum patientior aequo virtutum specimen dives sub paupere mundo scriptorum custos rigidus dubii que serenus excusor veri contendens mente beata purgatam in terris animan revocare per aethra indignum clamans demergi crimine vitas sulpureas que undas corrupto corpore adire candor erat mentis verus semper que docebat omnia factorum nostrae rationis habenda participes que mali facinus qui in fata reclinant ultor inexpletus fidei bellator in hostes sincerus cultor que dei domitor que malorum errantum lumen qui crimina tolleret ore talis erat specie quem nec ieiuna longa magnanimum vicere sitim fluvialibus undis algorem vili solitum depellere veste robore caelesti mundum calcavit et omnes terrenas vicit labes purgatior aethra vitarum maculas puro qui decoquit igni rebus qui docuit populos factis que vocavit,"['carmina', 'inscriptiones christianae']","['nomen singulare', 'sacerdotes christiani', 'viri']",{},Eusebius episcopus et martUr Emeritae quantum damnatum corpore vitae vel cunctis exuta malis mens possit inisi sat dedit agnosci virtus quem mille labores exilii que dolor victi stupuere fidelem blandus et adfatu facilis sanctusq sereno in vultu exponIns animum patientior aequo virtutum specimen dives sub paupere mundo scriBtorum custos rigidus dubiiq serenus excusor veri contendens mente beata purgatam in terris animan revocare per aethra indignum clamans demergi crimine vitas sulpureasq undas corrupto corpore adire candor erat mentis verus semperq docebat omnia factorum nostrae rationis habenda participesq mali facinus qui in fata reclinant ultor inexpletus fidei bellator in hostes sincerus cultorq dei domiNorq malorum errantum lumen qui crimina tolleret ore talis erat specie quem nec ieiuna longa magnanimum vicere sitim fluvialibus undis algorem vili solitum depellere veste robore caelesti mundum calcavit et omnes terrenas vicit labes purgatior aethra vitarum maculas puro qui decoquit igni rebus qui docuit populos factisq vocavit,Eusebius episcopus et martyr Emeritae quantum damnatum corpore vitae vel cunctis exuta malis mens possit inisi sat dedit agnosci virtus quem mille labores exilii que dolor victi stupuere fidelem blandus et adfatu facilis sanctus que sereno in vultu exponens animum patientior aequo virtutum specimen dives sub paupere mundo scriptorum custos rigidus dubii que serenus excusor veri contendens mente beata purgatam in terris animan revocare per aethra indignum clamans demergi crimine vitas sulpureas que undas corrupto corpore adire candor erat mentis verus semper que docebat omnia factorum nostrae rationis habenda participes que mali facinus qui in fata reclinant ultor inexpletus fidei bellator in hostes sincerus cultor que dei domitor que malorum errantum lumen qui crimina tolleret ore talis erat specie quem nec ieiuna longa magnanimum vicere sitim fluvialibus undis algorem vili solitum depellere veste robore caelesti mundum calcavit et omnes terrenas vicit labes purgatior aethra vitarum maculas puro qui decoquit igni rebus qui docuit populos factis que vocavit,carmina;  inscriptiones christianae;  nomen singulare;  sacerdotes christiani;  viri,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p743;N115459;m|ce|0704;bu_CIL%26bibl_volume=5%26bibl_subvolume=%26bibl_insc=6723,501.0,700.0,501.0,700.0,45.3251557,8.4227666,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CLE_00704.jpg;$CLE_00704_1.jpg;$CLE_00704_2.jpg;$CIL_05_06723.jpg;pp,501 to 700,,Akrostichon,,
EDCS-40600027,"ICUR-07, 18306m",Roma,Roma,a]nni[3] / [3] manibus [3] / [3 an]n(os) XXV[,anni manibus n XXV,anni manibus annos XXV,"['inscriptiones christianae', 'tituli sepulcrales']",{},{},anni manibus n XXV,anni manibus annos XXV,inscriptiones christianae;  tituli sepulcrales,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J28405,301.0,400.0,301.0,400.0,41.8933203,12.4829321,,301 to 400,,,,
EDCS-37400753,"ICUR-04, 11720b",Roma,Roma,[3]ου ἔτεκε ἡμ[3],ου ἔτεκε ἡμ,ου ἔτεκε ἡμ,"['inscriptiones christianae', 'tituli sepulcrales']",{},{},ου ἔτεκε ἡμ,ου ἔτεκε ἡμ,inscriptiones christianae;  tituli sepulcrales,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J4422,301.0,500.0,301.0,500.0,41.8933203,12.4829321,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ICUR_04_11720b.jpg,301 to 500,,,,
EDCS-35701069,"ICUR-04, 09374c",Roma,Roma,Atrianus // Bibianoc(?),Atrianus Bibianoc,Atrianus Bibianoc,"['inscriptiones christianae', 'tituli sepulcrales']","['nomen singulare', 'viri']",{},Atrianus Bibianoc,Atrianus Bibianoc,inscriptiones christianae;  nomen singulare;  tituli sepulcrales;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J19742,791.0,825.0,791.0,825.0,41.8933203,12.4829321,,791 to 825,,crux,,
EDCS-82200097,IRT 01206,Africa proconsularis,En-Ngila,[O] <v=B>os omnes [qui transitis per] / <v=B>iam aspicite et <v=B>idetis IFA [si est do]/lo(r) (veste)r qualis e(st) dolor meus,Bos omnes Biam aspicite et Bidetis IFA lo r qualis e dolor meus,O vos omnes qui transitis per viam aspicite et videtis IFA si est dolor vester qualis est dolor meus,"['inscriptiones christianae', 'tituli sepulcrales']",{},{},Bos omnes Biam aspicite et Bidetis IFA lo r qualis e dolor meus,O vos omnes qui transitis per viam aspicite et videtis IFA si est dolor vester qualis est dolor meus,inscriptiones christianae;  tituli sepulcrales,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT1206.html,951.0,1050.0,951.0,1050.0,32.7462777,13.0316768,,951 to 1050,,,,
EDCS-74600010,"AEspAA-1937-69,2",Hispania citerior,San Pedro de la Nave-Almendra,Martinu(s),Martinu,Martinus,{},"['nomen singulare', 'viri']",{},Martinu,Martinus,nomen singulare;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=A30277,601.0,1200.0,601.0,1200.0,41.5878594,-5.9399653,,601 to 1200,,,,
EDCS-30301026,"ICUR-06, 15969,06 = Mossong-2022, 00196f",Roma,Roma,Maur(),Maur,Maur,"['inscriptiones christianae', 'tituli possessionis']",{},{},Maur,Maur,inscriptiones christianae;  tituli possessionis,tectorium,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J5513,626.0,800.0,626.0,800.0,41.8933203,12.4829321,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp,626 to 800,,,,
EDCS-34100358,"ICUR-02, 04532d1 = ILCV 01968a",Roma,Roma,S(an)c(tu)s / Mar/cel/li/nus,Scs Marcellinus,Sanctus Marcellinus,"['inscriptiones christianae', 'tituli sepulcrales']","['nomen singulare', 'viri']",{},Scs Marcellinus,Sanctus Marcellinus,inscriptiones christianae;  nomen singulare;  tituli sepulcrales;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J16994,626.0,675.0,626.0,675.0,41.8933203,12.4829321,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp,626 to 675,,,,
EDCS-35700711,"ICUR-04, 12240,10a = Mossong-2022, 00205k",Roma,Roma,Petrus pre(sbyter),Petrus pre,Petrus presbyter,"['inscriptiones christianae', 'tituli possessionis']","['nomen singulare', 'sacerdotes christiani', 'viri']",{},Petrus pre,Petrus presbyter,inscriptiones christianae;  nomen singulare;  sacerdotes christiani;  tituli possessionis;  viri,tectorium,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J1925,591.0,625.0,591.0,625.0,41.8933203,12.4829321,,591 to 625,,,,
EDCS-73400065,"FITrier-2018, 00074",Belgica,Trier / Augusta Treverorum,]ce Perhen[3] / [3 me]ritis [3] / [3]precip[,ce Perhen ritis precip,ce Perhen meritis precip,"['inscriptiones christianae', 'tituli sepulcrales']",{},{},ce Perhen ritis precip,ce Perhen meritis precip,inscriptiones christianae;  tituli sepulcrales,,,771.0,830.0,771.0,830.0,49.7596208,6.6441878,,771 to 830,,,,
EDCS-20100041,"AE 2000, 00235 = Mazzoleni-2000, p 626,5",Roma,Roma,[3 M]arturius arc(h)iater [3] / [3]t it(erum) pos(t) c(onsulatum) Lampadi et O[restis 3],arturius arciater t it pos c Lampadi et O,Marturius archiater t iterum post consulatum Lampadi et Orestis,"['inscriptiones christianae', 'tituli sepulcrales']","['officium/professio', 'viri']",{},arturius arciater t it pos c Lampadi et O,Marturius archiater t iterum post consulatum Lampadi et Orestis,inscriptiones christianae;  officium/professio;  tituli sepulcrales;  viri,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=N105998;J41862,532.0,532.0,532.0,532.0,41.8933203,12.4829321,http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp,532 to 532,,,,
EDCS-35000852,"ICUR-03, 07577",Roma,Roma,Faustina / in pace / semper,Faustina in pace semper,Faustina in pace semper,"['inscriptiones christianae', 'tituli sepulcrales']","['mulieres', 'nomen singulare']",{},Faustina in pace semper,Faustina in pace semper,inscriptiones christianae;  mulieres;  nomen singulare;  tituli sepulcrales,,http://db.edcs.eu/epigr/partner.php?s_language=en&param=J23661,301.0,400.0,301.0,400.0,41.8933203,12.4829321,,301 to 400,,,,
EDCS-82200100,IRT 01209,Africa proconsularis,En-Ngila,[In hoc t]umulo iacet corpus bon(a)e memo/ri(a)e Cora[3]G[3 vix]it in (h)oc s(a)eculo (!) XXVII exit de (h)oc s(a)eculo in anno / VI m(i)ll(esim)o CCCCLXXVII indictio(ne) II in mense Fe<b=U>r(u)arius requiem (a)eterna(m) lu<g=C>(e)at [tibi(?)],umulo iacet corpus bone memorie Cora G it in oc seculo XXVII exit de oc seculo in anno VI mllo CCCCLXXVII indictio II in mense FeUrarius requiem eterna luCat,In hoc tumulo iacet corpus bonae memoriae Cora G vixit in hoc saeculo XXVII exit de hoc saeculo in anno VI millesimo CCCCLXXVII indictione II in mense Februarius requiem aeternam lugeat tibi,"['inscriptiones christianae', 'tituli operum', 'tituli sepulcrales']",{},{},umulo iacet corpus bone memorie Cora G it in oc seculo XXVII exit de oc seculo in anno VI mllo CCCCLXXVII indictio II in mense FeUrarius requiem eterna luCat,In hoc tumulo iacet corpus bonae memoriae Cora G vixit in hoc saeculo XXVII exit de hoc saeculo in anno VI millesimo CCCCLXXVII indictione II in mense Februarius requiem aeternam lugeat tibi,inscriptiones christianae;  tituli operum;  tituli sepulcrales,lapis,http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT1209.html,969.0,969.0,969.0,969.0,32.7462777,13.0316768,,969 to 969,,,,
